FFRFUBUUDBLFRRDLFRRBLFFBDLFRUUBDUUDBDLFULDBDBDRLLBRURL	L2 R2 B2 D2 R2 U' R2 U' F2 D2 U  B2 R' F  U' R2 F  D' L  F' D'	21	1780	true
ULBRULFDBUURLRBLURDFLFFBLBFDRUBDRRFFRDLFLRBDBDDFUBUDLU	R  L2 U  F2 U  B2 F2 L2 U  F2 L2 U2 F  L2 R  D  F  L  R' U  R	21	2873	true
FFLLULDBUFDDURFRRBBDLRFLRLDFFBRDDUBURBLDLUBBUFUDRBFRUL	F  L2 U2 F2 L2 B' U2 F2 L2 U2 B2 U' B  D' R  D  L' F  U2 L' U	21	3476	true
UBBLUFFDDFURFRFLRDLBRLFDFRDUFFLDURDLLDURLUBBRDUBLBBBRU	U' L  B  L2 U  R2 D2 B2 U' R2 B2 D' F2 L2 R  B' R' F  D2 R  D'	21	2024	true
BRFDUUDBLBRLBRFUDFRRUBFLRFLDDFFDBDLRRRBDLULUFDFULBLUUB	L  F' R  B2 D2 L' B2 L  F2 R' D2 B2 R' F' L  U' R  F  R2 U  L'	21	4025	true
BLBUUFRDFUUDLRFLRLDLRDFBDDURBBRDFULDRBFULRLBBLFUDBRFUF	L2 U  R2 U2 R2 D' B2 D' F2 R2 U' F  R' D2 B  D  L' B  L  F  R'	21	1629	true
BLRDURFUDBFDDRRUBLULLLFFUULLRFBDRDFDRBRLLBRUBBFUDBDFUF	F2 U' R2 U  L2 R2 F2 R2 D  B2 U  B  U' F  L' R' D  L  U2 F  L2	21	2296	true
RRLLULDDRFFBURFURBLRUDFRLUBUBLBDBDUUDDFLLFBDFDFFUBBRLR	L2 U  B  D  B  D2 L' F' D2 R2 L2 F2 U2 B' U2 B' R2 F2 U2 L  F'	21	1135	true
LUFRULLUBRFDRRBLULBBUDFBDDFRFURDFURDDDUDLLFUBRLBLBBFFR	F2 D' L2 U2 L2 R2 U' L2 F2 L2 D  F' L' B  D2 L2 U' R  U2 L2	20	222	true
DFLDUBLUURUFRRFLDUDRFLFFRRUBBBUDBRFRLRBLLDFLDUDFUBBBLD	F' U2 F' D2 L2 B  F  U2 R2 B' D2 U2 R' D  F2 R' U' L  F' U2 B	21	967	true
DURBUDLFLBRDRRBFFUULUUFFDBDLURDDDUURBRFDLLFLFBFLLBBBRR	L2 B' R2 D  R2 L  D' B  L  U  R2 U' F2 R2 D  F2 R2 F2 U' L2 D'	21	1370	true
RRDFUFURBDRLURDFBFLBRFFBFULURDLDDLUDUUBDLLFBRBDBLBFRLU	B2 U' R  B2 U2 L2 D2 F2 R' D2 L' D2 R' F' L' B2 D' L2 B  D	20	3493	true
DBULURRLRFUBDRDBFUBUUUFBRLDUFLBDRDRLLDDULFRRBLLFFBBFDF	R' B2 L2 B2 U2 L  B2 L' D2 L  U2 B  L2 F  D' L2 U' B' U' L  B	21	9160	true
FRBFUFUBRDDLLRLRUUBLFDFUFRDDUBBDFLBLURRBLLBULUDRFBDFRD	F' U  B2 F2 U2 R' B2 L' R' U2 R' D2 F2 U2 D  B  U' F2 R  D  B2	21	1426	true
BRLUULDDULBBDRDFFRRLBDFBFLURFLLDRFRURBBULRLUDDBUFBFFUD	U' B  L' U' F2 B2 R' D2 F  D2 B2 D' B2 U  L2 B2 U  B2 R2 F2 D2	21	881	true
BUBUURRRBUFDLRRUFLFBLLFBDDRLBBLDDDLFDBUFLDRUFLRRDBUUFF	F2 U  F' R' D' B' R  F' D2 R2 F' B' U2 F' R2 U2 B'	17	134	true
BDUDULBULDULURBLRDUFBDFBBLDDFFUDFULRRFLRLBFRRFLURBDFBR	L2 R2 B2 R2 D  R2 D' L2 F2 D2 L' D2 U  R' B' L2 U  F2	18	169	true
